# ＜はやぶさ２小惑星遷移軌道計画情報（公開用概略計算値）＞　　                                                                                                                                                                
#                                                                                                                                                                                                                             
#公開日：2018年02月26日                                                                                                                                                                                                        
#Released by JAXA はやぶさ２プロジェクトチーム                                                                                                                                                                                
#=============================================================================                                                                                                                                                
#                                                                                                                                                                                                                             
#▼ご利用にあたっての注意点▲                                                                                                                                                                                                 
#                                                                                                                                                                                                                             
#　１．本軌道計画情報は、「はやぶさ２」が太陽系空間内をどのような軌道で移動していくかを                                                                                                                                       
#　　　表示するために作成された概略軌道データです。実際の軌道は、今後の軌道制御やそれに                                                                                                                                       
#　　　ともなう新たな軌道計算・軌道決定などによって決まります。                                                                                                                                                               
#                                                                                                                                                                                                                             
#　２．本軌道計画情報は、各種アプリケーション・コンテンツ（WEB、CG、映像画像、教材他）の                                                                                                                                      
#　　　制作をはじめ、さまざまな創作活動の基データとしてご利用いただけます。                                                                                                                                                   
#　　　なお、利用条件等については、                                                                                                                                                                                           
#                                                                                                                                                                                                                             
#　　　　JAXAwebサイト＜サイトポリシー・利用規約＞                                                                                                                                                                            
#　　　　http://www.jaxa.jp/policy_j.html                                                                                                                                                                                     
#                                                                                                                                                                                                                             
#　　　をご参照ください。                                                                                                                                                                                                     
#                                                                                                                                                                                                                             
#　３．本軌道計画情報は、打上げ日時・探査機基本性能等の条件を基にした概略計算値であり、                                                                                                                                       
#　　　実際の探査機の飛行状態等を踏まえた軌道情報・航行ステータスとは異なります。                                                                                                                                             
#                                                                                                                                                                                                                             
#　４．数値精度：0.0001au（～1.5万km）                                                                                                                                                                                        
#                                                                                                                                                                                                                             
#　５．本軌道計画情報では打上げ（2014年12月3日）から2019年12月9日までのデータを示します。
#　　　ただし、2018年6月1日以降の「はやぶさ２」の位置は小惑星リュウグウと等しくなっています。
#　　　つまり、リュウグウの周りでの「はやぶさ２」の位置は、このファイルでは分かりません。
#　　　太陽を中心とした「はやぶさ２」の軌道を描く目的でお使いください。
#　　　また、「はやぶさ２」がリュウグウから出発する日にちはまだ決まっていません。
#                                                                                                                                                                                                                             
#　６．なお、軌道計画の大幅な変更等が生じない限り、本軌道計画情報（公開用概略計算値）の                                                                                                                                       
#　　　更新は行わない予定です。予めご了承ください。                                                                                                                                                                          
#                                                                                                                                                                                                                             
#=============================================================================                                                                                                                                                
#■各項目解説■                                                                                                                                                                                                               
#
#UTC    : 時刻（協定世界時：Coodinated universal time）：日本標準時（JST）は UTC＋9時間 
#       : 時刻のフォーマット＝YYYY/MM/DD.hh:mm:ss＝YYYY年MM月DD日 hh時mm分ss秒                                                                                                                                             
#L+     : 総飛行時間　打ち上げ時刻【2014/12/3 4:22:04 UTC】からの通算日，単位[日]                                                                                                                                                                                                                                                                  
#　　　　　                                                                                                                                                                                                                   
# X,Y,Z : 黄道面座標系での「はやぶさ２」/地球/小惑星位置，単位は[au：天文単位]（天文単位，太陽-地球距離(ここでは149597870700.0m)を1とした距離）                                                                                      
# Rs    : 「はやぶさ２」と太陽の距離　　　　　　　　　単位[万キロメートル]                                                                                                                                                      
# Re    : 「はやぶさ２」と地球との距離　　　　　　　　単位[万キロメートル]                                                                                                                                                      
# Ra    : 「はやぶさ２」とリュウグウとの距離　　　　　単位[万キロメートル]                                                                                                                                                      
# Vs    : 「はやぶさ２」の巡航速度（太陽相対速度）　　単位[キロメートル毎秒]                                                                                                                                                    
# Ve    : 「はやぶさ２」の地球相対速度　　　　　　　　単位[キロメートル毎秒]                                                                                                                                                    
# alpha : 地球から見た「はやぶさ２」の赤経　　　　　　単位[度]                                                                                                                                                                  
# delta : 地球から見た「はやぶさ２」の赤緯　　　　　　単位[度]                                                                                                                                                                  
# Dflt  : 「はやぶさ２」の総飛行距離　　　　　　　　　単位[万キロメートル]                                                                                                                                                      
#=============================================================================================================================================================================================================================
#                            |------------- Hayabusa2 ------------||------------    Earth   -------------||---------- Ryugu (1999 JU3) ---------|                                                                            
#       UTC             L+        X            Y            Z            X            Y            Z            X            Y            Z            Rs         Re         Ra       Vs       Ve     alpha    delta   Dflt   
#                      [day]     [au]         [au]         [au]         [au]         [au]         [au]         [au]         [au]         [au]       [10^4km]   [10^4km]   [10^4km]  [km/s]   [km/s]   [deg]    [deg] [10^4km] 
#--------1---------------2--------3------------4------------5------------6------------7------------8------------9------------10-----------11-----------12---------13---------14-------15-------16-------17-------18-----19----
2014/12/03.05:00:01      0.0  0.325037004  0.930593428 -0.000009499  0.325234210  0.930600082 -0.000030805 -0.805848166 -1.019952582 -0.045648774   14746.23       2.97   33736.27   23.54    6.91  -175.77     4.89      0.0 
2014/12/04.05:00:01      1.0  0.309535882  0.937664707 -0.002231828  0.308668303  0.936061567 -0.000030321 -0.796245466 -1.030533910 -0.044365698   14771.85      42.76   33778.44   30.20    4.78    69.71   -28.92    257.0 
2014/12/05.05:00:01      2.0  0.293602226  0.944389618 -0.004352343  0.292008242  0.941234944 -0.000029892 -0.786536271 -1.040977415 -0.043076689   14795.02      83.53   33816.67   30.14    4.68    70.94   -29.05    517.7 
2014/12/06.05:00:01      3.0  0.277569394  0.950807153 -0.006445704  0.275258814  0.946118715 -0.000029547 -0.776722449 -1.051282451 -0.041781949   14817.90     123.80   33853.91   30.10    4.65    71.37   -29.08    777.9 
2014/12/07.05:00:01      4.0  0.261448153  0.956927336 -0.008526235  0.258424805  0.950711383 -0.000029309 -0.766805858 -1.061448398 -0.040481681   14840.66     163.86   33890.33   30.05    4.63    71.59   -29.08   1037.8 
2014/12/08.05:00:01      5.0  0.245245518  0.962753111 -0.010598145  0.241511024  0.955011460 -0.000029190 -0.756788349 -1.071474653 -0.039176085   14863.37     203.80   33925.98   30.01    4.62    71.72   -29.06   1297.2 
2014/12/09.05:00:01      6.0  0.228967523  0.968285623 -0.012663005  0.224522319  0.959017467 -0.000029199 -0.746671761 -1.081360636 -0.037865361   14886.03     243.65   33960.88   29.96    4.61    71.81   -29.03   1556.3 
2014/12/10.05:00:01      7.0  0.212619813  0.973525387 -0.014721388  0.207463598  0.962727950 -0.000029335 -0.736457924 -1.091105786 -0.036549704   14908.65     283.46   33995.03   29.91    4.61    71.87   -28.99   1814.9 
2014/12/11.05:00:01      8.0  0.196207839  0.978472672 -0.016773404  0.190339831  0.966141493 -0.000029593 -0.726148661 -1.100709561 -0.035229312   14931.24     323.23   34028.44   29.87    4.60    71.92   -28.95   2073.2 
2014/12/12.05:00:01      9.0  0.179736937  0.983127658 -0.018818922  0.173156057  0.969256729 -0.000029961 -0.715745783 -1.110171439 -0.033904377   14953.80     362.98   34061.10   29.82    4.60    71.96   -28.89   2331.1 
2014/12/13.05:00:01     10.0  0.163212361  0.987490512 -0.020857675  0.155917385  0.972072352 -0.000030424 -0.705251092 -1.119490916 -0.032575094   14976.31     402.72   34093.01   29.78    4.60    71.98   -28.82   2588.5 
2014/12/14.05:00:01     11.0  0.146639303  0.991561421 -0.022889311  0.138628995  0.974587125 -0.000030963 -0.694666383 -1.128667506 -0.031241652   14998.79     442.46   34124.18   29.74    4.60    72.01   -28.74   2845.6 
2014/12/15.05:00:01     12.0  0.130022905  0.995340620 -0.024913430  0.121296133  0.976799884 -0.000031555 -0.683993439 -1.137700741 -0.029904242   15021.22     482.21   34154.58   29.69    4.60    72.03   -28.65   3102.4 
2014/12/16.05:00:01     13.0  0.113368347  0.998828596 -0.026929573  0.103924118  0.978709546 -0.000032175 -0.673234036 -1.146590172 -0.028563052   15043.60     521.97   34184.24   29.65    4.60    72.05   -28.55   3358.7 
2014/12/17.05:00:01     14.0  0.096680512  1.002025325 -0.028937332  0.086518339  0.980315112 -0.000032796 -0.662389938 -1.155335367 -0.027218269   15065.92     561.75   34213.12   29.60    4.61    72.08   -28.44   3614.6 
2014/12/18.05:00:01     15.0  0.079964490  1.004931408 -0.030936216  0.069084266  0.981615677 -0.000033386 -0.651462903 -1.163935908 -0.025870077   15088.18     601.56   34241.24   29.56    4.61    72.10   -28.32   3870.2 
2014/12/19.05:00:01     16.0  0.063225260  1.007547384 -0.032925747  0.051627453  0.982610438 -0.000033915 -0.640454677 -1.172391396 -0.024518662   15110.37     641.40   34268.59   29.52    4.62    72.13   -28.20   4125.4 
2014/12/20.05:00:01     17.0  0.046467723  1.009873727 -0.034905450  0.034153543  0.983298714 -0.000034351 -0.629366999 -1.180701449 -0.023164204   15132.49     681.26   34295.16   29.47    4.62    72.16   -28.06   4380.2 
2014/12/21.05:00:01     18.0  0.029696777  1.011911112 -0.036874842  0.016668268  0.983679972 -0.000034666 -0.618201598 -1.188865697 -0.021806886   15154.54     721.17   34320.95   29.43    4.63    72.19   -27.92   4634.7 
